Value,Lambda, 5way_5shot, 5way_10shot, 10way_5shot, 10way_10shot
closed_set_acc,0.1,0.9052440219461916,0.08639199767112732,0.0,0.0
open_set_auroc,0.1,0.9090092000000001,0.08540650000000001,0.0,0.0
closed_set_acc,0.2,0.9074693558096886,0.08543799775242805,0.0,0.0
open_set_auroc,0.2,0.9056904266666665,0.08514640000000001,0.0,0.0
closed_set_acc,0.3,0.8999400225281715,0.08672599784731864,0.0,0.0
open_set_auroc,0.3,0.9089758533333334,0.08511379999999999,0.0,0.0
closed_set_acc,0.4,0.9062240223348141,0.08435399779081346,0.0,0.0
open_set_auroc,0.4,0.9074760533333333,0.08427219999999999,0.0,0.0
closed_set_acc,0.5,0.9072546883940695,0.9264559787988661,0.8728026870489118,0.8921999795258045
open_set_auroc,0.5,0.9160785333333333,0.9358998,0.8989486266666666,0.9226833800000002
closed_set_acc,0.6,0.9004973550915718,0.08534199765920639,0.0,0.0
open_set_auroc,0.6,0.9057510133333334,0.08602850000000001,0.0,0.0
closed_set_acc,0.7,0.9042493558228017,0.08729399766921997,0.0,0.0
open_set_auroc,0.7,0.9114265733333333,0.0851472,0.0,0.0
closed_set_acc,0.8,0.9058800222873689,0.08762399759292602,0.0,0.0
open_set_auroc,0.8,0.9084683200000001,0.08591810000000001,0.0,0.0
closed_set_acc,0.9,0.8983680221796035,0.08814399760961532,0.0,0.0
open_set_auroc,0.9,0.9006159066666666,0.0855924,0.0,0.0
closed_set_acc,1.0,0.9090640223681925,0.08694799767732621,0.0,0.0
open_set_auroc,1.0,0.9117298,0.08567899999999999,0.0,0.0
