Value,Lambda, 5way_5shot, 5way_10shot, 10way_5shot, 10way_10shot
closed_set_acc,0,0.9096546887755392,0.9232299787461757,0.8711746864497663,0.8953489796757698619
open_set_auroc,0,0.91321008,0.9301381199999998,0.8955274400000001,0.9177681200000001
closed_set_acc,0.5,0.9072546883940695,0.9264559787988661,0.8728026870489118,0.8921999795258045
open_set_auroc,0.5,0.9160785333333333,0.9358998,0.8989486266666666,0.9226833800000002
closed_set_acc,1.0,0.9032880227029324,0.9234079783737659,0.8678893535137175,0.8913249798715114
open_set_auroc,1.0,0.9132598133333334,0.9328380800000001,0.8922074266666668,0.9128590999999998
closed_set_acc,1.5,0.9061453544199466,0.922773978382349,0.8653126875638961,0.8915879790663718
open_set_auroc,1.5,0.9128116000000001,0.9321200000000001,0.8973022933333332,0.9194563800000001
closed_set_acc,2.0,0.8992773539304732,0.9200819793820383,0.8661053537011148,0.8909619793951512
open_set_auroc,2.0,0.9130291466666667,0.9338953999999999,0.8938484800000001,0.9194993199999999
