sample_id,distance_to_nearest_normal,nearest_normal_idx,nearest_normal_label
339,0.0,60,fakebank
366,50.467926,165,smbpayload
322,63.176853,165,smbpayload
310,63.630024,165,smbpayload
252,64.8132,96,patpooty
304,67.069405,60,fakebank
218,73.34474,60,fakebank
200,73.34474,60,fakebank
206,73.34474,60,fakebank
207,73.34474,60,fakebank
342,73.34474,60,fakebank
296,73.34474,60,fakebank
219,73.34474,60,fakebank
290,73.34474,60,fakebank
340,73.34474,60,fakebank
201,73.34474,60,fakebank
251,73.34474,60,fakebank
241,73.34474,60,fakebank
236,73.34474,60,fakebank
284,73.34474,60,fakebank
298,73.34474,60,fakebank
350,73.34474,60,fakebank
362,73.34474,60,fakebank
216,73.34474,60,fakebank
306,73.34474,60,fakebank
314,73.34474,60,fakebank
327,73.34474,60,fakebank
257,73.34474,60,fakebank
230,73.34474,60,fakebank
289,73.34474,60,fakebank
228,73.34474,60,fakebank
353,73.34474,60,fakebank
214,73.34474,60,fakebank
259,73.34474,60,fakebank
364,73.34474,60,fakebank
231,73.354256,60,fakebank
268,73.354256,60,fakebank
311,74.08992,60,fakebank
363,75.65986,60,fakebank
313,79.40471,165,smbpayload
275,81.08305,60,fakebank
349,82.75486,165,smbpayload
210,83.98158,108,prochider
223,84.1714,60,fakebank
360,84.2904,110,prochider
269,86.97518,191,wroba
356,91.98287,134,sickabs
244,95.08234,134,sickabs
203,95.29023,133,sickabs
212,95.98704,104,prochider
317,97.79214,110,prochider
318,98.937965,165,smbpayload
250,105.614174,112,prochider
238,106.445274,110,prochider
285,106.53096,96,patpooty
312,109.151054,110,prochider
315,119.132416,7,bpfdoor
247,128.55275,55,elfpatch
365,139.27632,133,sickabs
343,144.36319,164,smbpayload
232,153.08443,55,elfpatch
321,153.88358,9,bpfdoor
245,169.03516,120,sickabs
344,171.11923,100,prochider
243,176.3525,8,bpfdoor
256,176.3525,8,bpfdoor
368,176.52988,8,bpfdoor
279,188.7129,8,bpfdoor
334,228.05618,8,bpfdoor
262,230.70316,13,bpfdoor
239,232.57469,112,prochider
338,239.41383,107,prochider
249,253.13121,8,bpfdoor
271,253.13121,8,bpfdoor
324,261.15063,8,bpfdoor
282,266.5364,107,prochider
331,266.5364,107,prochider
309,279.1415,8,bpfdoor
278,281.22787,107,prochider
292,285.14938,107,prochider
225,290.84454,8,bpfdoor
300,306.54184,20,dnsamp
326,308.37213,8,bpfdoor
277,333.43124,116,prochider
297,385.82825,18,bpfdoor
319,387.4452,83,patpooty
261,399.50134,8,bpfdoor
307,414.9317,34,dnsamp
335,471.66888,120,sickabs
265,478.77652,83,patpooty
209,479.60522,93,patpooty
260,486.89432,80,patpooty
242,495.08817,80,patpooty
367,497.79446,93,patpooty
330,506.12137,93,patpooty
291,506.1359,93,patpooty
359,506.1359,93,patpooty
345,506.1359,93,patpooty
316,506.94504,93,patpooty
348,507.9918,93,patpooty
305,567.6504,93,patpooty
217,593.81726,82,patpooty
234,596.73004,93,patpooty
266,712.40894,93,patpooty
286,879.04694,36,dnsamp
248,1139.8794,87,patpooty
211,1264.5254,92,patpooty
333,1285.5974,92,patpooty
229,1299.744,83,patpooty
346,1361.59,150,sliver
280,1364.5514,92,patpooty
258,1374.834,156,sliver
357,1495.3125,92,patpooty
235,1499.1511,92,patpooty
270,1571.9479,92,patpooty
351,1772.5674,150,sliver
202,1978.9441,150,sliver
226,1986.537,36,dnsamp
332,2126.7153,92,patpooty
358,2277.2388,92,patpooty
276,2383.2402,156,sliver
281,2502.5066,80,patpooty
355,2558.9197,92,patpooty
361,2571.196,87,patpooty
208,2718.344,150,sliver
325,2997.3347,150,sliver
240,3113.9604,150,sliver
354,3338.548,150,sliver
302,3338.548,150,sliver
329,3562.6287,150,sliver
347,3643.8284,150,sliver
255,3658.8843,36,dnsamp
287,3665.6345,156,sliver
293,3701.228,156,sliver
370,3952.6443,150,sliver
328,4465.178,36,dnsamp
337,4560.0586,154,sliver
369,4913.084,36,dnsamp
341,5307.4546,156,sliver
222,5396.1846,145,sliver
233,5479.0107,156,sliver
273,5479.924,156,sliver
274,5593.6724,145,sliver
221,5594.6724,36,dnsamp
303,5625.6084,145,sliver
288,5633.1436,145,sliver
267,5670.8335,145,sliver
323,5811.411,156,sliver
204,6052.3374,156,sliver
224,6320.702,36,dnsamp
272,6320.702,36,dnsamp
237,7303.018,147,sliver
301,8558.792,146,sliver
264,8620.024,156,sliver
295,8841.827,154,sliver
205,9937.893,36,dnsamp
220,10189.194,36,dnsamp
308,14658.559,146,sliver
283,14768.328,154,sliver
299,18732.748,150,sliver
336,19619.979,154,sliver
263,19695.36,154,sliver
320,20484.145,146,sliver
294,21323.53,146,sliver
254,25423.273,146,sliver
246,25423.273,146,sliver
215,26939.855,159,sliver
352,35859.457,159,sliver
213,47372.3,159,sliver
253,47377.062,159,sliver
227,62112.742,152,sliver
